keyword_searched,dc_title,dc_creator,dc_publisher,dc_date,dc_type,dc_format,dc_language,dc_source,dc_relation,dc_description,ark,gallica_url,year,journal_title
choléra,"Le Figaro : journal littéraire : théâtre, critique, sciences, arts, moeurs, nouvelles, scandale, économie domestique, biographie, bibliographie, modes, etc., etc.",,Jourdan fils (Paris),1832-04-09,texte,Nombre total de vues : 13022,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344484501,09 avril 1832,https://gallica.bnf.fr/ark:/12148/bpt6k267307b,https://gallica.bnf.fr/ark:/12148/bpt6k267307b,1832,Bibliothèque nationale de France
typhus,Journal de Toulouse : politique et littéraire,,[s.n.] (Toulouse),1865-09-14,texte,,fre,"Bibliothèque municipale de Toulouse, P 018",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb345241384,14 septembre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k53721775,https://gallica.bnf.fr/ark:/12148/bpt6k53721775,1865,"Bibliothèque municipale de Toulouse, P 018"
contagion,"Le Guignol : journal-programme [""puis"" petite gazette hebdomadaire] du Théâtre de Saumur : [""puis"" biographies, portraits, etc., critique théâtrale, musique, historiettes, voyages, etc., peinture, beaux-arts]",,[s.n.] (Saumur),1866-06-18,texte,Nombre total de vues : 250,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327852902,18 juin 1866,https://gallica.bnf.fr/ark:/12148/bpt6k5450030g,https://gallica.bnf.fr/ark:/12148/bpt6k5450030g,1866,Bibliothèque nationale de France
typhus,Recueil de médecine vétérinaire,,Gabon (Paris),1856-03-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 mars 1856,https://gallica.bnf.fr/ark:/12148/bpt6k63061820,https://gallica.bnf.fr/ark:/12148/bpt6k63061820,1856,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
contagion,Courrier des hôtels et Guide du commerce réunis : moniteur de l'exportation,,[s.n.] (Paris),1866-04-26,texte,Nombre total de vues : 8162,fre,"Bibliothèque nationale de France, département Littérature et art, V-12064",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32751020r,26 avril 1866,https://gallica.bnf.fr/ark:/12148/bpt6k6207237k,https://gallica.bnf.fr/ark:/12148/bpt6k6207237k,1866,"Bibliothèque nationale de France, département Littérature et art, V-12064"
contagion,Recueil des actes de la Préfecture de la Marne,Marne. Auteur du texte,[s.n.] (Châlons-sur-Marne),1865-09-16,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, F-27012",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344249025,16 septembre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k7063324f,https://gallica.bnf.fr/ark:/12148/bpt6k7063324f,1865,"Bibliothèque nationale de France, département Droit, économie, politique, F-27012"
typhus,Gazette nationale ou le Moniteur universel,France. Auteur du texte,[s.n.] (Paris),1845-03-17,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-113",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34452336z,17 mars 1845,https://gallica.bnf.fr/ark:/12148/bpt6k44308826,https://gallica.bnf.fr/ark:/12148/bpt6k44308826,1845,"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-113"
choléra,"L'Indicateur : ou journal du commerce, de nouvelles, de littérature et d'annonces",,Impr. Coudert (Bordeaux),1832-04-05,texte,,fre,"Bibliothèque nationale de France, département Centre technique du livre, NUM P 333 / P 1034",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327902170,05 avril 1832,https://gallica.bnf.fr/ark:/12148/bd6t52728009t,https://gallica.bnf.fr/ark:/12148/bd6t52728009t,1832,"Bibliothèque nationale de France, département Centre technique du livre, NUM P 333 / P 1034"
typhus,Le Messager agricole : revue des associations et des intérêts agricoles du Midi,,[s.n.] (Montpellier),1865-10-05,texte,,fre,"Archives départementales de l'Hérault, PAR 2004",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32814674d,05 octobre 1865,https://gallica.bnf.fr/ark:/12148/bd6t53793580f,https://gallica.bnf.fr/ark:/12148/bd6t53793580f,1865,"Archives départementales de l'Hérault, PAR 2004"
choléra,Gazette homéopathique de Bordeaux,,"Chez J.-B. Baillière, libraire (Bordeaux)",1847,texte,Nombre total de vues : 295,fre,"Bibliothèque nationale de France, département Sciences et techniques, 8-T41-8",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32781261h,1847,https://gallica.bnf.fr/ark:/12148/bpt6k132630b,https://gallica.bnf.fr/ark:/12148/bpt6k132630b,1847,"Bibliothèque nationale de France, département Sciences et techniques, 8-T41-8"
choléra,"Le Figaro : journal littéraire : théâtre, critique, sciences, arts, moeurs, nouvelles, scandale, économie domestique, biographie, bibliographie, modes, etc., etc.",,Jourdan fils (Paris),1832-02-05,texte,Nombre total de vues : 13022,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344484501,05 février 1832,https://gallica.bnf.fr/ark:/12148/bpt6k267243w,https://gallica.bnf.fr/ark:/12148/bpt6k267243w,1832,Bibliothèque nationale de France
choléra,"Journal de Savoie : feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts",,[s.n.] (Chambéry),1832-03-17,texte,,fre,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LC9-124 (5)",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32798895c,17 mars 1832,https://gallica.bnf.fr/ark:/12148/bd6t57347941,https://gallica.bnf.fr/ark:/12148/bd6t57347941,1832,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LC9-124"
épidémie,Le Moniteur de la Martinique : journal officiel de la colonie,Martinique. Auteur du texte,[s.n.] (Fort-de-France),1863-01-29,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3021",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344185573,29 janvier 1863,https://gallica.bnf.fr/ark:/12148/bpt6k5103827k,https://gallica.bnf.fr/ark:/12148/bpt6k5103827k,1863,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3021"
épidémie,Journal officiel de l'île de La Réunion,Réunion. Auteur du texte,[s.n.] (Saint-Denis),1867-01-12,texte,,fre,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 4-LC12-351",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32802046t,12 janvier 1867,https://gallica.bnf.fr/ark:/12148/bpt6k6022741q,https://gallica.bnf.fr/ark:/12148/bpt6k6022741q,1867,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 4-LC12-351"
variole,Rapport sur les vaccinations pratiquées en France ...,France. Comité central de vaccine. Auteur du texte,Imprimerie impériale (Paris),1847,texte,Nombre total de vues : 9788,fre,"Bibliothèque de l'Académie nationale de médecine, 2012-195998",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32848237p,1847,https://gallica.bnf.fr/ark:/12148/bpt6k6361304k,https://gallica.bnf.fr/ark:/12148/bpt6k6361304k,1847,"Bibliothèque de l'Académie nationale de médecine, 2012-195998"
choléra,Journal des dames et des modes,,[s.n.] (Paris),1832-04-05,texte,Nombre total de vues : 26474,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32799510k,05 avril 1832,https://gallica.bnf.fr/ark:/12148/bpt6k1042954j,https://gallica.bnf.fr/ark:/12148/bpt6k1042954j,1832,Bibliothèque nationale de France
choléra,"La Caricature morale, politique et littéraire / A. Audibert, rédacteur en chef ; [directeur : Ch. Philipon]",,Aubert (Paris),1832-05-03,texte,Nombre total de vues : 4371,fre,"Bibliothèque nationale de France, département Réserve des livres rares, RES FOL-LC2-2828, Z-1643-1646",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344523348,03 mai 1832,https://gallica.bnf.fr/ark:/12148/bpt6k1048596c,https://gallica.bnf.fr/ark:/12148/bpt6k1048596c,1832,"Bibliothèque nationale de France, département Réserve des livres rares, RES FOL-LC2-2828, Z-1643-1646"
épidémie,"Compte-rendu des épidémies, des épizooties et des travaux des conseils d'hygiène du Morbihan... / par le Dr Alfred Fouquet,...",,Impr. de J.-M. Galles (Vannes),1868,texte,Nombre total de vues : 536,fre,"Bibliothèque nationale de France, département Sciences et techniques, 8-TC49-27",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb437506014,1868,https://gallica.bnf.fr/ark:/12148/bpt6k6484163g,https://gallica.bnf.fr/ark:/12148/bpt6k6484163g,1868,"Bibliothèque nationale de France, département Sciences et techniques, 8-TC49-27"
typhus,"L'Observateur des Pyrénées : journal politique, scientifique, littéraire, industriel et d'annonces",,[s.n.] (Pau),1845-03-21,texte,,fre,"Bibliothèque patrimoniale de Pau, Ee 1613",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328277978,21 mars 1845,https://gallica.bnf.fr/ark:/12148/bpt6k5228037j,https://gallica.bnf.fr/ark:/12148/bpt6k5228037j,1845,"Bibliothèque patrimoniale de Pau, Ee 1613"
typhus,"La Bibliothèque populaire : journal paraissant le dimanche : sciences, arts et métiers, agriculture, industrie...",,(Nancy),1865-10-01,texte,Nombre total de vues : 556,fre,"Bibliothèque nationale de France, département Littérature et art, Z-7821",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327123669,01 octobre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k6228215v,https://gallica.bnf.fr/ark:/12148/bpt6k6228215v,1865,"Bibliothèque nationale de France, département Littérature et art, Z-7821"
contagion,"L'Abeille médicale : revue des journaux et des ouvrages de médecine, de chirurgie, de pharmacie",,C.-J.-B. Comet (Paris),1863-08-03,texte,,fre,"Bibliothèque de l'Académie nationale de médecine, 2015-118400",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb343982223,03 août 1863,https://gallica.bnf.fr/ark:/12148/bpt6k9621635d,https://gallica.bnf.fr/ark:/12148/bpt6k9621635d,1863,"Bibliothèque de l'Académie nationale de médecine, 2015-118400"
variole,Bibliothèque homoeopathique / par une société de médecins,Société hahnemannienne fédérative. Auteur du texte,J.-B. Baillière et fils (Paris),1868-11-01,texte,Nombre total de vues : 9255,fre,"Bibliothèque nationale de France, département Sciences et techniques, 4-T41-15",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32712340m,01 novembre 1868,https://gallica.bnf.fr/ark:/12148/bpt6k57128663,https://gallica.bnf.fr/ark:/12148/bpt6k57128663,1868,"Bibliothèque nationale de France, département Sciences et techniques, 4-T41-15"
variole,"Nouveaux mémoires de la Société des sciences, agriculture et arts du département du Bas-Rhin",Société académique du Bas-Rhin. Auteur du texte,F. G. Levrault (Strasbourg),1832,texte,Nombre total de vues : 3366,fre,"Bibliothèque nationale de France, département Collections numérisées, 2008-259995",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34444830j,1832,https://gallica.bnf.fr/ark:/12148/bpt6k5662779h,https://gallica.bnf.fr/ark:/12148/bpt6k5662779h,1832,"Bibliothèque nationale de France, département Collections numérisées, 2008-259995"
variole,"Mémoires de la Société d'agriculture, sciences, belles-lettres et arts d'Orléans",Académie d'Orléans. Auteur du texte,[s.n.] (Orléans),1860,texte,Nombre total de vues : 27234,fre,"Académie d'Orléans, Z-28604",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb344123693,1860,https://gallica.bnf.fr/ark:/12148/bpt6k57319658,https://gallica.bnf.fr/ark:/12148/bpt6k57319658,1860,"Académie d'Orléans, Z-28604"
